learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,mape,rmse,status
0.05,-1,20,600,31,1.1786150061500573,12.602039822902517,ok
0.05,-1,20,600,63,1.1997334937633446,12.794080187059693,ok
0.05,-1,20,600,127,1.1778269478395351,12.654827471819004,ok
0.05,-1,20,900,31,1.1895615300766096,12.702630506601878,ok
0.05,-1,20,900,63,1.2049197895551045,12.884563831170277,ok
0.05,-1,20,900,127,1.1804768975980033,12.69330805025634,ok
0.05,-1,50,300,31,1.1338391712512546,12.058057485303287,ok
0.05,-1,50,300,63,1.142643256306419,12.25637579540702,ok
0.05,-1,50,300,127,1.142643256306419,12.25637579540702,ok
0.05,-1,50,600,31,1.1586709142442881,12.366851227405803,ok
0.05,-1,50,600,63,1.1711279300231143,12.52982116848169,ok
0.05,-1,50,600,127,1.1711279300231143,12.52982116848169,ok
0.05,-1,50,900,31,1.178664375777031,12.586260332103418,ok
0.05,-1,50,900,63,1.19359248076052,12.75957061198471,ok
0.05,-1,50,900,127,1.19359248076052,12.75957061198471,ok
0.05,8,10,300,31,1.1393245567016261,12.163321081458003,ok
0.05,8,10,300,63,1.172575978878273,12.487728149864205,ok
0.05,8,10,300,127,1.1625677422104774,12.35303532590675,ok
0.05,8,10,600,31,1.1737237259859887,12.497132728267275,ok
0.05,8,10,600,63,1.1895783401047608,12.702275233283752,ok
0.05,8,10,600,127,1.1961456263444918,12.644413962086174,ok
0.05,8,10,900,31,1.1919767146841838,12.634944779730848,ok
0.05,8,10,900,63,1.20525304932963,12.8622743714619,ok
0.05,8,10,900,127,1.209512805548429,12.742699001152092,ok
0.05,8,20,300,31,1.1386833738761628,12.171613542932306,ok
0.05,8,20,300,63,1.1546577443312853,12.337724530518773,ok
0.05,8,20,300,127,1.1554027722207934,12.433015756835516,ok
0.05,8,20,600,31,1.1739421491235826,12.461921993704063,ok
0.05,8,20,600,63,1.1791495959052969,12.54074422709579,ok
0.05,8,20,600,127,1.176947714494769,12.597459727030426,ok
0.05,8,20,900,31,1.1830857385750881,12.56692022881013,ok
0.05,8,20,900,63,1.1958158675326311,12.740588253043535,ok
0.05,8,20,900,127,1.1893091951213746,12.729803377254537,ok
0.05,8,50,300,31,1.1208509390247403,11.956481104303974,ok
0.05,8,50,300,63,1.1110413469197316,11.912855163677408,ok
0.05,8,50,300,127,1.1110413469197316,11.912855163677408,ok
0.05,8,50,600,31,1.133765185421436,12.147591524624062,ok
0.05,8,50,600,63,1.1290354750605807,12.105991284258636,ok
0.05,8,50,600,127,1.1290354750605807,12.105991284258636,ok
0.05,8,50,900,31,1.151240363241272,12.336697603582756,ok
0.05,8,50,900,63,1.144415500895617,12.284581155126126,ok
0.05,8,50,900,127,1.144415500895617,12.284581155126126,ok
0.05,12,10,300,31,1.1540114563840878,12.296602806345353,ok
0.05,12,10,300,63,1.1867707536777485,12.587206428806404,ok
0.05,12,10,300,127,1.1950844707666524,12.598069117704613,ok
0.05,12,10,600,31,1.1947138405835136,12.693075515012929,ok
0.05,12,10,600,63,1.2027633240187008,12.712982354046598,ok
0.05,12,10,600,127,1.205527294170577,12.712475330331175,ok
0.05,12,10,900,31,1.2092099605448747,12.807154744097623,ok
0.05,12,10,900,63,1.2132384159109177,12.784269439142903,ok
0.05,12,10,900,127,1.2145873020620783,12.768177407745922,ok
0.05,12,20,300,31,1.1339392152088599,12.173045125799126,ok
0.05,12,20,300,63,1.1672206155830478,12.417715628615971,ok
0.05,12,20,300,127,1.1726960655320713,12.585422436629313,ok
0.05,12,20,600,31,1.156422877527706,12.390766909756419,ok
0.05,12,20,600,63,1.1834808628623095,12.563135682373636,ok
0.05,12,20,600,127,1.1877789083857997,12.695300894295805,ok
0.05,12,20,900,31,1.1765065555600327,12.545669445623012,ok
0.05,12,20,900,63,1.194636224446145,12.707287927251379,ok
0.05,12,20,900,127,1.199510500930816,12.785360121478229,ok
0.05,12,50,300,31,1.1185950966204972,11.986280040489481,ok
0.05,12,50,300,63,1.1221841985426946,12.046042359417052,ok
0.05,12,50,300,127,1.1221841985426946,12.046042359417052,ok
0.05,12,50,600,31,1.13580093081789,12.173387530786075,ok
0.05,12,50,600,63,1.1387171282198119,12.227759097201282,ok
0.05,12,50,600,127,1.1387171282198119,12.227759097201282,ok
0.05,12,50,900,31,1.155026473429306,12.361214645876899,ok
0.05,12,50,900,63,1.1531410522576901,12.39459977182446,ok
0.05,12,50,900,127,1.1531410522576901,12.39459977182446,ok
0.1,-1,10,300,31,1.1887210273060094,12.692484740490034,ok
0.1,-1,10,300,63,1.2037273452400432,12.743387299724521,ok
0.1,-1,10,300,127,1.1946604850643405,12.529876091798666,ok
0.1,-1,10,600,31,1.2053982726250692,12.876189887826808,ok
0.1,-1,10,600,63,1.2066928878589738,12.788247234034374,ok
0.1,-1,10,600,127,1.1953022711088268,12.538358463011898,ok
0.1,-1,10,900,31,1.208119470846087,12.915168487766664,ok
0.1,-1,10,900,63,1.2064913528647918,12.791690925694942,ok
0.1,-1,10,900,127,1.1956378040991806,12.538645012141474,ok
