Date,forecast
2020-04-17,909.2421365143871
2020-04-18,908.853705340919
2020-04-19,908.9624011097126
2020-04-20,908.413094388564
2020-04-21,909.238478475419
2020-04-22,908.5354759079164
2020-04-23,907.7352835827285
2020-04-24,907.080151969061
2020-04-25,906.6434168488863
2020-04-26,906.702440802016
2020-04-27,906.1014718804761
2020-04-28,906.8726387661666
2020-04-29,906.1123621063223
2020-04-30,905.2514041847248
2020-05-01,904.531652448325
2020-05-02,904.0261553180827
2020-05-03,904.0120674575951
2020-05-04,903.3335118589188
2020-05-05,904.0225779173533
2020-05-06,903.1757350350626
2020-05-07,902.223883731814
2020-05-08,901.4091395866606
2020-05-09,900.8048682377535
2020-05-10,900.6886284176439
2020-05-11,899.9050302046356
2020-05-12,900.4867275122034
2020-05-13,899.5308242470502
2020-05-14,898.4689160556615
2020-05-15,897.5438629843363
2020-05-16,896.8298113477858
2020-05-17,896.6051219228264
2020-05-18,895.7152118603804
2020-05-19,896.1935296232481
2020-05-20,895.137942734888
2020-05-21,893.9807606765103
2020-05-22,892.9654887283847
2020-05-23,892.1668315630037
2020-05-24,891.8636042467123
2020-05-25,890.9015585943562
2020-05-26,891.3143447297446
2020-05-27,890.1998881580613
2020-05-28,888.9904051651988
2020-05-29,887.9291527563774
2020-05-30,887.0904322794013
2020-05-31,886.7525046324663
2020-06-01,885.7604251368667
2020-06-02,886.1470179445126
2020-06-03,885.0092701778761
2020-06-04,883.7783683791214
2020-06-05,882.6964731130929
2020-06-06,881.8367503766005
2020-06-07,881.476317103941
2020-06-08,880.4591081344572
2020-06-09,880.8168837089183
2020-06-10,879.6456568201702
2020-06-11,878.3757620762259
2020-06-12,877.2486609801426
2020-06-13,876.3370013438137
2020-06-14,875.9175872227125
2020-06-15,874.8342658945427
2020-06-16,875.1189501929792
2020-06-17,873.8680548785843
2020-06-18,872.5125681975643
2020-06-19,871.2948531805438
2020-06-20,870.2886962181324
2020-06-21,869.7722593032913
2020-06-22,868.5909426566926
2020-06-23,868.7783764311064
2020-06-24,867.4328207496964
2020-06-25,865.9871959797653
2020-06-26,864.6858387085664
2020-06-27,863.6045020156525
2020-06-28,863.0232576080131
2020-06-29,861.7893078002454
2020-06-30,861.9379273591056
2020-07-01,860.5688158133148
2020-07-02,859.1160834620375
2020-07-03,857.8249678296486
2020-07-04,856.7718003540616
2020-07-05,856.2368819450202
2020-07-06,855.0672763085214
2020-07-07,855.2977417857746
2020-07-08,854.0270828264535
2020-07-09,852.6881446191834
2020-07-10,851.5245476727781
2020-07-11,850.6106819309689
2020-07-12,850.2246186009799
2020-07-13,849.2109478913005
2020-07-14,849.6017624743461
2020-07-15,848.4930666493111
2020-07-16,847.3148333978374
2020-07-17,846.3078046417071
2020-07-18,845.5435526835277
2020-07-19,845.2974593322124
2020-07-20,844.4116191963186
2020-07-21,844.9158852605681
2020-07-22,843.9043350775688
2020-07-23,842.8053782263507
2020-07-24,841.8585989510009
2020-07-25,841.1348507492097
2020-07-26,840.9092584214574
2020-07-27,840.0241333229117
2020-07-28,840.5100194659378
2020-07-29,839.4621486281006
2020-07-30,838.3105252392138
2020-07-31,837.2967353829213
2020-08-01,836.4939973977856
2020-08-02,836.1801105817502
2020-08-03,835.2003089903943
2020-08-04,835.5882394502297
2020-08-05,834.4423436041488
2020-08-06,833.1958665714952
2020-08-07,832.0935884675939
2020-08-08,831.2117982279151
2020-08-09,830.831168200291
2020-08-10,829.7995384023653
2020-08-11,830.1528313687711
2020-08-12,828.991379055644
2020-08-13,827.7498858380046
2020-08-14,826.6741250599557
2020-08-15,825.840889526288
2020-08-16,825.5308550430963
2020-08-17,824.5913662310078
2020-08-18,825.0573655327526
2020-08-19,824.0277465493284
2020-08-20,822.9353550829189
2020-08-21,822.023734381271
2020-08-22,821.3671337227224
2020-08-23,821.2434379485339
2020-08-24,820.4970254519417
2020-08-25,821.159773663845
2020-08-26,820.3274911691869
2020-08-27,819.4299977671403
2020-08-28,818.7079468947751
2020-08-29,818.2329075244083
2020-08-30,818.280361212646
2020-08-31,817.6926200347372
2020-09-01,818.4998828690583
2020-09-02,817.7967078345459
2020-09-03,817.0121211429511
2020-09-04,816.3864560434563
2020-09-05,815.9914385571535
2020-09-06,816.1031756077809
2020-09-07,815.5650515542317
2020-09-08,816.4087511977535
2020-09-09,815.7306879949837
2020-09-10,814.9620589619705
2020-09-11,814.3456214319051
2020-09-12,813.9557100707126
2020-09-13,814.071151638591
2020-09-14,813.5380855081868
2020-09-15,814.3909100865117
2020-09-16,813.7286359577578
2020-09-17,812.9848692733477
2020-09-18,812.4045224919131
2020-09-19,812.0637726594115
2020-09-20,812.2429263002414
2020-09-21,811.7892002665734
2020-09-22,812.7376397463772
2020-09-23,812.1874549891106
2020-09-24,811.5720006852489
2020-09-25,811.1354951695555
2020-09-26,810.9529993611104
2020-09-27,811.3033138978536
2020-09-28,811.0318028808827
2020-09-29,812.1713642046319
2020-09-30,811.818826549434
2020-10-01,811.4049952736186
2020-10-02,811.171442506863
2020-10-03,811.190559372868
2020-10-04,811.7385267525575
2020-10-05,811.6582109521132
2020-10-06,812.9802022537931
2020-10-07,812.7992745361219
2020-10-08,812.5444864716525
2020-10-09,812.4560180839464
2020-10-10,812.6052593227956
2020-10-11,813.2678060858306
2020-10-12,813.2863693809926
2020-10-13,814.6918152690945
2020-10-14,814.5796137747097
2020-10-15,814.3799176146337
2020-10-16,814.3343651961831
2020-10-17,814.5161255247083
2020-10-18,815.2028417111081
2020-10-19,815.2394802819995
2020-10-20,816.659305643367
2020-10-21,816.5602597519376
2020-10-22,816.3749698114044
2020-10-23,816.3474804597457
2020-10-24,816.5532300904918
