colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,mape,rmse,status
0.8,0.05,3,1,600,1.0,1.1129222416160998,11.883296813658507,ok
0.8,0.05,3,1,900,0.8,1.1239411242294097,12.035128530322236,ok
0.8,0.05,3,1,900,0.9,1.1203811941374753,12.033074475624742,ok
0.8,0.05,3,1,900,1.0,1.1420347730266411,12.17463518489669,ok
0.8,0.05,3,5,300,0.8,1.0647593685857584,11.458692284146576,ok
0.8,0.05,3,5,300,0.9,1.0757678423916344,11.54142358908297,ok
0.8,0.05,3,5,300,1.0,1.0781402676801766,11.531447025338636,ok
0.8,0.05,3,5,600,0.8,1.0812192530780524,11.686969294547161,ok
0.8,0.05,3,5,600,0.9,1.0877800634573767,11.747872655212197,ok
0.8,0.05,3,5,600,1.0,1.0914240812996718,11.66889872237443,ok
0.8,0.05,3,5,900,0.8,1.0907653849140009,11.801010745494127,ok
0.8,0.05,3,5,900,0.9,1.1078891946639924,11.957676278078653,ok
0.8,0.05,3,5,900,1.0,1.114600804522211,11.940580399174927,ok
0.8,0.05,3,10,300,0.8,1.070234540243578,11.469275868606934,ok
0.8,0.05,3,10,300,0.9,1.0729175980562127,11.508024593984235,ok
0.8,0.05,3,10,300,1.0,1.075023057152385,11.497185106514063,ok
0.8,0.05,3,10,600,0.8,1.0855734042694807,11.65705090015838,ok
0.8,0.05,3,10,600,0.9,1.090588840926579,11.730462991481287,ok
0.8,0.05,3,10,600,1.0,1.1054493287039688,11.768552051714712,ok
0.8,0.05,3,10,900,0.8,1.0930395304818614,11.765152147000153,ok
0.8,0.05,3,10,900,0.9,1.1047358947104422,11.864368438814864,ok
0.8,0.05,3,10,900,1.0,1.126660251052568,12.00779082112924,ok
0.8,0.05,5,1,300,0.8,1.12967742185501,12.11501565238095,ok
0.8,0.05,5,1,300,0.9,1.137232702145993,12.157335659086964,ok
0.8,0.05,5,1,300,1.0,1.1313124042597382,12.058115839853892,ok
0.8,0.05,5,1,600,0.8,1.1624042072128902,12.424045120125658,ok
0.8,0.05,5,1,600,0.9,1.1717484003124654,12.41546163488318,ok
0.8,0.05,5,1,600,1.0,1.1655589733704976,12.427456589816066,ok
0.8,0.05,5,1,900,0.8,1.1857049462654743,12.668972874869706,ok
0.8,0.05,5,1,900,0.9,1.1888905891391195,12.569432605158523,ok
0.8,0.05,5,1,900,1.0,1.1889790036491639,12.635261956412332,ok
0.8,0.05,5,5,300,0.8,1.0898462736395402,11.700387637930506,ok
0.8,0.05,5,5,300,0.9,1.0949420110146184,11.801168059845734,ok
0.8,0.05,5,5,300,1.0,1.09935413762718,11.786125376233004,ok
0.8,0.05,5,5,600,0.8,1.1207750128036216,12.026011522897823,ok
0.8,0.05,5,5,600,0.9,1.1268271655536723,12.154907857604352,ok
0.8,0.05,5,5,600,1.0,1.1337395451660497,12.085921511430206,ok
0.8,0.05,5,5,900,0.8,1.1369828646227575,12.203122851524865,ok
0.8,0.05,5,5,900,0.9,1.151500904491791,12.386381989119066,ok
0.8,0.05,5,5,900,1.0,1.1542287072899557,12.317938063777355,ok
0.8,0.05,5,10,300,0.8,1.0978883534420447,11.752263716920906,ok
0.8,0.05,5,10,300,0.9,1.0991249038216335,11.74326971505525,ok
0.8,0.05,5,10,300,1.0,1.113595072137746,11.795839774377718,ok
0.8,0.05,5,10,600,0.8,1.1375317681418746,12.103500728455122,ok
0.8,0.05,5,10,600,0.9,1.133719908237545,12.11235897291197,ok
0.8,0.05,5,10,600,1.0,1.1312206105144271,12.003315119490718,ok
0.8,0.05,5,10,900,0.8,1.1542639800055212,12.323112500266738,ok
0.8,0.05,5,10,900,0.9,1.1497352464947863,12.318329837653653,ok
0.8,0.05,5,10,900,1.0,1.1531760032698843,12.239805399199636,ok
0.8,0.05,7,1,300,0.8,1.151201225341911,12.397418146214603,ok
0.8,0.05,7,1,300,0.9,1.1907557547572265,12.602025892155153,ok
0.8,0.05,7,1,300,1.0,1.1562581861364543,12.416616656856597,ok
0.8,0.05,7,1,600,0.8,1.1786783305679531,12.65034186154852,ok
0.8,0.05,7,1,600,0.9,1.2142138691777462,12.848787953340045,ok
0.8,0.05,7,1,600,1.0,1.1925196141678487,12.770759255598223,ok
0.8,0.05,7,1,900,0.8,1.1925580433659413,12.75188788291537,ok
0.8,0.05,7,1,900,0.9,1.2282826684685098,12.957532131821239,ok
0.8,0.05,7,1,900,1.0,1.2080227725913548,12.900719710385077,ok
0.8,0.05,7,5,300,0.8,1.1092481403270453,11.89960824854505,ok
0.8,0.05,7,5,300,0.9,1.1250155830856556,12.04221647972365,ok
0.8,0.05,7,5,300,1.0,1.1395051161915883,12.149998392426603,ok
0.8,0.05,7,5,600,0.8,1.1503933624200022,12.32179398233973,ok
0.8,0.05,7,5,600,0.9,1.1683595981457926,12.432089793968128,ok
0.8,0.05,7,5,600,1.0,1.1694545983722067,12.494583121045528,ok
0.8,0.05,7,5,900,0.8,1.1650205610323003,12.454804620673011,ok
0.8,0.05,7,5,900,0.9,1.188247457219221,12.596809653438212,ok
0.8,0.05,7,5,900,1.0,1.1882822587316615,12.67747250554365,ok
0.8,0.05,7,10,300,0.8,1.0933879872791021,11.770789080862862,ok
0.8,0.05,7,10,300,0.9,1.129032072967479,11.939588335208267,ok
0.8,0.05,7,10,300,1.0,1.1115400600204361,11.868233239651062,ok
0.8,0.05,7,10,600,0.8,1.1303211755414875,12.161788218847567,ok
0.8,0.05,7,10,600,0.9,1.1721543646724457,12.41474765965072,ok
0.8,0.05,7,10,600,1.0,1.1521405542994652,12.257699136193061,ok
0.8,0.05,7,10,900,0.8,1.1542678046195702,12.34277442414186,ok
0.8,0.05,7,10,900,0.9,1.1913920150832218,12.583029869284085,ok
0.8,0.05,7,10,900,1.0,1.1710768248836831,12.423594015452434,ok
0.8,0.1,3,1,300,0.8,1.1131579752234542,11.9219415520211,ok
0.8,0.1,3,1,300,0.9,1.123475858137211,12.027908130951607,ok
0.8,0.1,3,1,300,1.0,1.1181375402432454,11.95336963029631,ok
0.8,0.1,3,1,600,0.8,1.1364348883439466,12.317083199899747,ok
0.8,0.1,3,1,600,0.9,1.1519477346915248,12.443265536962821,ok
0.8,0.1,3,1,600,1.0,1.1626194351056671,12.453176886294852,ok
0.8,0.1,3,1,900,0.8,1.1620319571903297,12.544606736597302,ok
0.8,0.1,3,1,900,0.9,1.1785231716163806,12.751275827129595,ok
0.8,0.1,3,1,900,1.0,1.1878292871915574,12.693821947206118,ok
0.8,0.1,3,5,300,0.8,1.0874109359718653,11.678045674844963,ok
0.8,0.1,3,5,300,0.9,1.1027553315428764,11.836407940298965,ok
0.8,0.1,3,5,300,1.0,1.1056198808982307,11.821488195373025,ok
0.8,0.1,3,5,600,0.8,1.116422980830025,12.07556285396147,ok
0.8,0.1,3,5,600,0.9,1.1269118613437334,12.159010049849305,ok
0.8,0.1,3,5,600,1.0,1.1278633360850703,12.098050509670557,ok
0.8,0.1,3,5,900,0.8,1.1240811006749252,12.208745246481715,ok
0.8,0.1,3,5,900,0.9,1.146941927028917,12.416820369697641,ok
0.8,0.1,3,5,900,1.0,1.1566173567220424,12.394100207018436,ok
0.8,0.1,3,10,300,0.8,1.077278274243017,11.529343725407177,ok
0.8,0.1,3,10,300,0.9,1.091556801673497,11.702890660383328,ok
0.8,0.1,3,10,300,1.0,1.1223601698872978,11.927869908745581,ok
0.8,0.1,3,10,600,0.8,1.1050634087887696,11.874426024603457,ok
0.8,0.1,3,10,600,0.9,1.1215476815040124,12.073517215463234,ok
0.8,0.1,3,10,600,1.0,1.1364309659866683,12.171081501491937,ok
