Date,forecast
2020-03-23,916.2994951109051
2020-03-24,917.643569094972
2020-03-25,917.4380252241272
2020-03-26,917.0892940930798
2020-03-27,916.8683738521247
2020-03-28,916.8432734570749
2020-03-29,917.3010307798268
2020-03-30,917.0705553026071
2020-03-31,918.4111680987812
2020-04-01,917.4274938830504
2020-04-02,917.2519425997741
2020-04-03,916.8421819058415
2020-04-04,916.6369375813897
2020-04-05,916.9240082188153
2020-04-06,916.5323599140702
2020-04-07,917.5174282154776
2020-04-08,916.9675010214582
2020-04-09,916.2911732890873
2020-04-10,915.7604733593635
2020-04-11,915.4439776219974
2020-04-12,915.6291417713667
2020-04-13,915.1439664532604
2020-04-14,916.043983234317
2020-04-15,915.4157376509133
2020-04-16,914.6675651185542
2020-04-17,914.0707901653761
2020-04-18,913.6931872699804
2020-04-19,913.8214753335224
2020-04-20,913.2823979280774
2020-04-21,914.1313873651538
2020-04-22,913.4531409513552
2020-04-23,912.6557105519776
2020-04-24,912.0097669746351
2020-04-25,911.5823993569129
2020-04-26,911.6597656557633
2020-04-27,911.0675809464237
2020-04-28,911.8614538385971
2020-04-29,911.1245510630465
2020-04-30,910.4702195582688
2020-05-01,909.1827860984185
2020-05-02,909.0559833143388
2020-05-03,909.0594016564676
2020-05-04,908.3886221812754
2020-05-05,909.0999387680884
2020-05-06,908.2755214093536
2020-05-07,907.3241225422353
2020-05-08,906.5164620297189
2020-05-09,905.9196943013876
2020-05-10,905.8203613445371
2020-05-11,905.0436868162267
2020-05-12,905.647245553643
2020-05-13,904.7127914001087
2020-05-14,903.6502600669999
2020-05-15,902.7312011717779
2020-05-16,902.0235647806223
2020-05-17,901.8147901905841
2020-05-18,900.9304868404033
2020-05-19,901.4297540307177
2020-05-20,900.3940742906677
2020-05-21,899.2346027830229
2020-05-22,898.2236382905703
2020-05-23,897.4297233933628
2020-05-24,897.1408660365291
2020-05-25,896.1826073565235
2020-05-26,896.6149951313625
2020-05-27,895.5185498007454
2020-05-28,894.3048512006599
2020-05-29,893.2460629243415
2020-05-30,892.41036404281
2020-05-31,892.290870503341
2020-06-01,890.7243886365277
2020-06-02,891.5005052219738
2020-06-03,890.3792399496983
2020-06-04,889.1426426435621
2020-06-05,888.0618766362818
2020-06-06,887.2040057433667
2020-06-07,886.8555503073158
2020-06-08,885.839400933608
2020-06-09,886.215172775879
2020-06-10,885.0593894965014
2020-06-11,883.7827344168627
2020-06-12,882.6557463313975
2020-06-13,881.7449718192695
2020-06-14,881.3366967536219
2020-06-15,880.2532837138228
2020-06-16,880.5552095066323
2020-06-17,879.3183428280993
2020-06-18,877.9545043051294
2020-06-19,876.7352169470776
2020-06-20,875.7281804023357
2020-06-21,875.22113561931
2020-06-22,874.0375812087402
2020-06-23,874.2404482082304
2020-06-24,872.9064254134878
2020-06-25,871.4497835147126
2020-06-26,870.1441379119626
2020-06-27,869.0592064283323
2020-06-28,868.4847736217259
2020-06-29,867.2457586868443
2020-06-30,867.6133656961229
2020-07-01,865.675591470163
2020-07-02,864.580694354034
2020-07-03,863.2827910092165
2020-07-04,862.2238018858584
2020-07-05,861.6938807737674
2020-07-06,860.5174255315044
2020-07-07,860.7600262459232
2020-07-08,859.4969077964158
2020-07-09,858.1433272560034
2020-07-10,856.9724292524791
2020-07-11,856.0526600843939
2020-07-12,855.6720407985617
2020-07-13,854.6520653196001
2020-07-14,855.0563678953476
2020-07-15,853.9563075180126
2020-07-16,852.7647336791288
2020-07-17,851.7519660220178
2020-07-18,850.9836088361944
2020-07-19,850.7450428208851
2020-07-20,849.8547928885193
2020-07-21,850.3749266689408
2020-07-22,849.3737812697027
2020-07-23,848.2630863302913
2020-07-24,847.3120454321397
2020-07-25,846.5855173235125
2020-07-26,846.3686822748689
2020-07-27,845.4798259742713
2020-07-28,845.9824072481167
2020-07-29,844.9448585257792
2020-07-30,843.7809924381991
2020-07-31,842.9682895944236
2020-08-01,841.583317086416
2020-08-02,841.6490223862977
2020-08-03,840.6636135425892
2020-08-04,841.0665623710368
2020-08-05,839.9285190865126
2020-08-06,838.6670898500358
2020-08-07,837.5569220274192
2020-08-08,836.6684276727567
2020-08-09,836.292621371432
2020-08-10,835.2525768833682
2020-08-11,835.6186964533254
2020-08-12,834.4625482248523
2020-08-13,833.2037589927011
2020-08-14,832.1181207532923
2020-08-15,831.2766214896405
2020-08-16,830.9704209318927
2020-08-17,830.0217105158899
2020-08-18,830.5006635653324
2020-08-19,829.4763823993385
2020-08-20,828.367134220761
2020-08-21,827.4465642244147
2020-08-22,826.7831168821588
2020-08-23,826.665228559621
2020-08-24,825.9116633787626
2020-08-25,826.5902085775203
2020-08-26,825.7657856127714
2020-08-27,824.8540720216183
2020-08-28,824.125851297696
2020-08-29,823.6468414322542
2020-08-30,823.7031072173311
2020-08-31,823.3173655348621
2020-09-01,823.5641514498009
2020-09-02,823.2437320133847
2020-09-03,822.4467576212844
2020-09-04,821.816470482835
2020-09-05,821.4187360491915
2020-09-06,821.5403235659242
2020-09-07,820.9980887911295
2020-09-08,821.8610242645032
2020-09-09,821.1925360556661
2020-09-10,820.410652644088
